ID,HET,SMILES
10gs_vww_lig,vww,N[C@@H](CCC(O)N[C@@H](CSCC1CCCCC1)C(O)N[C@@H](C(O)O)C1CCCCC1)C(O)O
12gs_0hh_lig,0hh,CCCCCCCCCSC[C@H](NC(O)CC[C@H](N)C(O)O)C(O)NCC(O)O
13gs_gsh_lig,gsh,N[C@@H](CCC(O)N[C@@H](CS)C(O)NCC(O)O)C(O)O
13gs_sas_lig,sas,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
18gs_gdn_lig,gdn,N[C@@H](CCC(O)N[C@@H](CSC1CCC(N(O)O)CC1N(O)O)C(O)NCC(O)O)C(O)O
19gs_bsp_lig,bsp,O=C1OCc2c(Br)c(Br)c(Br)c(Br)c21
19gs_gsh_lig,gsh,N[C@@H](CCC(O)N[C@@H](CS)C(O)NCC(O)O)C(O)O
1a0g_pmp_lig,pmp,C[C@@H]1NC[C@H](CO[PH](O)(O)O)C(CN)C1O
1a0r_far_lig,far,CCC(C)CCCC(C)CCCC(C)C
1a27_est_lig,est,C[C@]12CC[C@@H]3C4CCC(O)CC4CC[C@H]3[C@@H]1CC[C@@H]2O
1a27_nap_lig,nap,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
1a28_str_lig,str,CC(O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
1a2k_gdp_lig,gdp,NC1NC2[C@H](NCN2[C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)[C@H](O)N1
1a2n_tet_lig,tet,CC(O)N[C@H]1[C@@H](O[PH](O)(O)O[PH](O)(O)OC[C@H]2O[C@@H](N3CCC(O)N[C@H]3O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@](CF)(O[PH](O)(O)O)C(O)O
1a42_bzu_lig,bzu,CCN[C@H]1CN(CCOCC)S(O)(O)[C@@H]2SC(S(N)(O)O)CC12
1a4g_zmr_lig,zmr,CC(O)N[C@@H]1[C@@H](NC(N)N)CC(C(O)O)O[C@]12O[C@@H]2[C@H](O)CO
1a4h_gdm_lig,gdm,COC1C(O)C[C@H]2NC(O)[C@@H](C)CCC[C@H](OC)[C@@H](O[C@@H](N)O)[C@H](C)C[C@H](C)[C@@H](O)[C@@H](OC)C[C@@H](C)CC1C2O
1a4l_dcf_lig,dcf,OC[C@H]1O[C@@H](N2CN[C@@H]3[C@H](O)CNCN[C@@H]32)C[C@@H]1O
1a4m_prh_lig,prh,OC[C@H]1O[C@@H](N2CNC3C2NCN[C@H]3O)[C@H](O)[C@@H]1O
1a4q_dpc_lig,dpc,CCCN(CCC1CCCCC1)C(O)[C@@H]1OC(C(O)O)C[C@H](N)[C@H]1NC(C)O
1a4r_gdp_lig,gdp,NC1NC(O)C2NCN([C@@H]3O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]3O)C2N1
1a4r_gnh_lig,gnh,NC1NC(O)C2NCN([C@@H]3O[C@H](CO[PH](O)(O)O[PH](N)(O)O)[C@@H](O)[C@H]3O)C2N1
1a4z_nad_lig,nad,NC(O)C1CCCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CN[C@@H]5C(N)NCN[C@@H]54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C1
