file,molecule,position,mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å
optimized_pose/optimized_ligand_1D2S.sdf,1D2S_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_1H62.sdf,1H62_ligand,0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_1HBU.sdf,1HBU_ligand,0,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_1LC8.sdf,1LC8_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_1MRO.sdf,1MRO_ligand,0,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_1OW4.sdf,1OW4_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_1P5E.sdf,1P5E_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_1T73.sdf,1T73_ligand,0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_1T79.sdf,1T79_ligand,0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_2ABA.sdf,2ABA_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_2BXP.sdf,2BXP_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_2C47.sdf,2C47_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_2DQM.sdf,2DQM_ligand,0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True
optimized_pose/optimized_ligand_2GPU.sdf,2GPU_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_2J9X.sdf,2J9X_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_2JF9.sdf,2JF9_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_2P7Z.sdf,2P7Z_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_2V52.sdf,2V52_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
optimized_pose/optimized_ligand_2W3A.sdf,2W3A_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True
optimized_pose/optimized_ligand_2W98.sdf,2W98_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
