file,molecule,position,mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å
SurfDock_docking_result/1A28_protein_processed_obabel_reduce_obabel_8A_1A28_ligand/1A28_1A28_ligand_1A28_ligand.sdf_file_inner_idx_0_sample_idx_6_rank_1_rmsd_0.5977643102403631_confidence_280.1301409934414.sdf,1A28_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1AQ1_protein_processed_obabel_reduce_obabel_8A_1AQ1_ligand/1AQ1_1AQ1_ligand_1AQ1_ligand.sdf_file_inner_idx_0_sample_idx_1_rank_1_rmsd_1.1565111573767335_confidence_495.63144031826437.sdf,1AQ1_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1B5D_protein_processed_obabel_reduce_obabel_8A_1B5D_ligand/1B5D_1B5D_ligand_1B5D_ligand.sdf_file_inner_idx_0_sample_idx_6_rank_1_rmsd_0.7074767986896234_confidence_316.61443608245105.sdf,1B5D_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1B5E_protein_processed_obabel_reduce_obabel_8A_1B5E_ligand/1B5E_1B5E_ligand_1B5E_ligand.sdf_file_inner_idx_0_sample_idx_35_rank_1_rmsd_0.6814705175610498_confidence_313.54728483798243.sdf,1B5E_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1D09_protein_processed_obabel_reduce_obabel_8A_1D09_ligand/1D09_1D09_ligand_1D09_ligand.sdf_file_inner_idx_0_sample_idx_33_rank_1_rmsd_0.7290702727412265_confidence_224.69316055351433.sdf,1D09_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1D2S_protein_processed_obabel_reduce_obabel_8A_1D2S_ligand/1D2S_1D2S_ligand_1D2S_ligand.sdf_file_inner_idx_0_sample_idx_17_rank_1_rmsd_0.4655442151076236_confidence_260.29943921554104.sdf,1D2S_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1D8D_protein_processed_obabel_reduce_obabel_8A_1D8D_ligand/1D8D_1D8D_ligand_1D8D_ligand.sdf_file_inner_idx_0_sample_idx_9_rank_1_rmsd_0.7107482490952328_confidence_280.22622146925363.sdf,1D8D_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1DB1_protein_processed_obabel_reduce_obabel_8A_1DB1_ligand/1DB1_1DB1_ligand_1DB1_ligand.sdf_file_inner_idx_0_sample_idx_31_rank_1_rmsd_0.8853525451557245_confidence_403.23292383445295.sdf,1DB1_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1DFO_protein_processed_obabel_reduce_obabel_8A_1DFO_ligand/1DFO_1DFO_ligand_1DFO_ligand.sdf_file_inner_idx_0_sample_idx_18_rank_1_rmsd_0.648521520231826_confidence_447.43604327348544.sdf,1DFO_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True
SurfDock_docking_result/1DVX_protein_processed_obabel_reduce_obabel_8A_1DVX_ligand/1DVX_1DVX_ligand_1DVX_ligand.sdf_file_inner_idx_0_sample_idx_12_rank_1_rmsd_1.1876976447185317_confidence_82.10887736441475.sdf,1DVX_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False
SurfDock_docking_result/1E6Y_protein_processed_obabel_reduce_obabel_8A_1E6Y_ligand/1E6Y_1E6Y_ligand_1E6Y_ligand.sdf_file_inner_idx_0_sample_idx_35_rank_1_rmsd_0.9689735785641743_confidence_339.8854407858861.sdf,1E6Y_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True
SurfDock_docking_result/1EKX_protein_processed_obabel_reduce_obabel_8A_1EKX_ligand/1EKX_1EKX_ligand_1EKX_ligand.sdf_file_inner_idx_0_sample_idx_36_rank_1_rmsd_1.0759845739827698_confidence_259.1285986210738.sdf,1EKX_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True
SurfDock_docking_result/1EYN_protein_processed_obabel_reduce_obabel_8A_1EYN_ligand/1EYN_1EYN_ligand_1EYN_ligand.sdf_file_inner_idx_0_sample_idx_39_rank_1_rmsd_0.4828632377175474_confidence_217.46491816070358.sdf,1EYN_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1EYQ_protein_processed_obabel_reduce_obabel_8A_1EYQ_ligand/1EYQ_1EYQ_ligand_1EYQ_ligand.sdf_file_inner_idx_0_sample_idx_31_rank_1_rmsd_0.5108527781606503_confidence_305.8957368775681.sdf,1EYQ_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1F1B_protein_processed_obabel_reduce_obabel_8A_1F1B_ligand/1F1B_1F1B_ligand_1F1B_ligand.sdf_file_inner_idx_0_sample_idx_15_rank_1_rmsd_1.168867851900267_confidence_153.86995650976522.sdf,1F1B_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1FP1_protein_processed_obabel_reduce_obabel_8A_1FP1_ligand/1FP1_1FP1_ligand_1FP1_ligand.sdf_file_inner_idx_0_sample_idx_34_rank_1_rmsd_0.338273916708575_confidence_294.74627972402436.sdf,1FP1_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
