PDBID,RMSD,value,message,success,nit,nfev,num_MixOfGauss,num_atoms,num_rotbonds
1A28,2.61427,-39.24016574769096,Optimization terminated successfully.,True,80,13050,247,23,1
1AQ1,5.20186,-33.59159456934917,Optimization terminated successfully.,True,107,16722,313,35,2
1B5D,7.47273,-38.2080287904026,Optimization terminated successfully.,True,96,15563,311,20,2
1B5E,6.6594,-47.01949856914363,Optimization terminated successfully.,True,77,12693,342,20,2
1D09,3.52312,-34.66648316195335,Optimization terminated successfully.,True,468,73458,246,16,7
1D2S,1.56251,-48.69512376661604,Optimization terminated successfully.,True,60,9409,281,21,0
1D8D,8.03261,-74.02785037858192,Optimization terminated successfully.,True,422,70179,404,24,12
1DB1,9.75666,-58.273754401496134,Optimization terminated successfully.,True,313,50505,450,30,6
1DFO,5.13155,-65.94672048498411,Optimization terminated successfully.,True,249,38061,362,20,4
1DVX,4.87737,-51.23348911106605,Optimization terminated successfully.,True,107,16431,283,19,4
1E6Y,4.92664,-31.965696276264516,Maximum number of iterations has been exceeded.,False,500,77337,310,21,11
1EJ3,8.60291,-88.19084665332846,Maximum number of iterations has been exceeded.,False,500,79365,560,34,6
1EKX,4.22669,-46.01769635335068,Optimization terminated successfully.,True,433,68796,323,16,7
1EPV,6.41938,-44.416326637523056,Optimization terminated successfully.,True,51,8446,395,22,3
1EYN,3.93759,-61.093250448682824,Optimization terminated successfully.,True,141,22746,298,21,3
1EYQ,5.33748,-0.07149173240535335,Optimization terminated successfully.,True,455,70904,115,20,1
1F1B,5.19272,-32.953572296567586,Optimization terminated successfully.,True,353,55518,237,16,7
1FP1,5.92743,-60.33193399030999,Optimization terminated successfully.,True,390,59574,298,19,4
1G4S,2.78152,-60.594720260801495,Optimization terminated successfully.,True,91,14405,352,22,4
1G6T,6.46627,-71.40661030213768,Optimization terminated successfully.,True,104,16755,357,16,3
1GP5,3.05895,-51.48928838457798,Optimization terminated successfully.,True,70,11430,261,22,1
1GW6,5.10252,-56.900071956802904,Optimization terminated successfully.,True,351,53664,368,22,9
1H47,9.76406,-3.9207039665933734,Maximum number of iterations has been exceeded.,False,500,77979,280,19,8
1H48,3.65624,-38.86219860781368,Optimization terminated successfully.,True,498,77161,351,19,8
1H60,4.62103,-34.200906172575074,Optimization terminated successfully.,True,65,10468,270,23,1
1H62,1.86096,-45.09437811829537,Optimization terminated successfully.,True,62,10304,251,21,0
1HBO,4.92291,-37.3948235042966,Maximum number of iterations has been exceeded.,False,500,81846,309,21,12
1HBU,1.44431,-29.61424108586354,Maximum number of iterations has been exceeded.,False,500,82986,317,21,12
1IE9,15.6057,-6.248923407875074,Maximum number of iterations has been exceeded.,False,500,77598,326,30,5
1IX1,5.95742,-56.933847721560795,Maximum number of iterations has been exceeded.,False,500,78352,403,27,13
1JCS,4.04973,-78.40249136879164,Optimization terminated successfully.,True,345,57838,396,24,12
1JF0,13.511,-7.699806389024525,Maximum number of iterations has been exceeded.,False,500,79053,224,34,6
1JF2,7.81089,-118.90111496116951,Optimization terminated successfully.,True,460,73710,551,34,6
1KDP,3.9061,-92.95038776068463,Optimization terminated successfully.,True,78,12863,342,20,2
1LB9,5.78598,-40.60283060942687,Optimization terminated successfully.,True,60,9893,288,18,2
1LC8,1.15058,-91.65619569708076,Optimization terminated successfully.,True,118,19406,402,24,8
1LNM,2.88057,-65.12093635079698,Optimization terminated successfully.,True,76,12586,401,27,1
1LW5,5.39923,-53.09573628185702,Optimization terminated successfully.,True,232,36816,393,20,6
1M2Z,6.95266,-41.99959335667137,Optimization terminated successfully.,True,74,11589,300,28,2
1MDZ,4.82352,-75.36550941387681,Optimization terminated successfully.,True,264,42705,322,22,6
1MI4,6.14267,-63.72885134136878,Optimization terminated successfully.,True,67,10754,324,16,3
1ML4,3.88259,-40.253529691155876,Optimization terminated successfully.,True,409,64674,257,16,7
1MRO,1.92933,-35.638197639060984,Maximum number of iterations has been exceeded.,False,500,81808,329,21,12
1MRQ,6.22994,-39.00175098196637,Optimization terminated successfully.,True,79,12880,319,23,1
1NC3,4.67471,-87.22340107650987,Optimization terminated successfully.,True,75,12245,344,19,2
